시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수
강원,강릉시,강남동,25611,강원특별자치도 강릉시 남부로 232,강남동주민센터,128.905612,37.74421,5115061500,16598
강원,강릉시,강동면,25620,강원특별자치도 강릉시 강동면 율곡로 2208,강동면사무소,128.954213,37.7280864,5115034000,3838
강원,강릉시,경포동,25464,강원특별자치도 강릉시 운정길 16,경포동주민센터,128.8806307,37.7838197,5115066500,11310
강원,강릉시,교1동,25507,강원특별자치도 강릉시 하슬라로 173,교1동주민센터,128.8744304,37.7655775,5115055000,24896
강원,강릉시,교2동,25490,강원특별자치도 강릉시 율곡로 2974,교2동주민센터,128.8924843,37.7679147,5115056000,7092
강원,강릉시,구정면,25622,강원특별자치도 강릉시 구정면 구정중앙로 237,구정면사무소,128.8800078,37.7183287,5115033000,4179
강원,강릉시,내곡동,25604,강원특별자치도 강릉시 범일로 574,내곡동주민센터,128.8809534,37.7390854,5115060000,18599
강원,강릉시,사천면,25439,강원특별자치도 강릉시 사천면 미노길 67,사천면사무소,128.848713,37.823517,5115036000,5380
강원,강릉시,성덕동,25578,강원특별자치도 강릉시 성덕포남로 115,성덕동주민센터,128.91365,37.7635,5115064500,27269
강원,강릉시,성산면,25450,강원특별자치도 강릉시 성산면 구산길 22,성산면사무소,128.8320499,37.718711,5115031000,3447
강원,강릉시,송정동,25562,강원특별자치도 강릉시 경강로 2451,송정동주민센터,128.9275765,37.7744719,5115059000,9561
강원,강릉시,연곡면,25428,강원특별자치도 강릉시 연곡면 연주로 35-8,연곡면사무소,128.8369,37.86014,5115037000,6482
강원,강릉시,옥계면,25634,강원특별자치도 강릉시 옥계면 현내시장길 30,옥계면사무소,129.0379,37.6126071,5115035000,3299
강원,강릉시,옥천동,25552,강원특별자치도 강릉시 경강로 2179,옥천동주민센터,128.90295,37.760175,5115054000,3114
강원,강릉시,왕산면,25639,강원특별자치도 강릉시 왕산면 백두대간로 1997,왕산면사무소,128.8378891,37.6727199,5115032000,1514
강원,강릉시,주문진읍,25406,강원특별자치도 강릉시 주문진읍 항구로 19,주문진읍사무소,128.8234018,37.8940471,5115025000,15540
강원,강릉시,중앙동,25530,강원특별자치도 강릉시 토성로 163,중앙동주민센터,128.8940072,37.7560849,5115052000,4353
강원,강릉시,초당동,25466,강원특별자치도 강릉시 초당순두부길 99,초당동주민센터,128.915963,37.791883,5115058000,4431
강원,강릉시,포남1동,25546,강원특별자치도 강릉시 남구길10번길 25,포남1동주민센터,128.9081349,37.7660414,5115057100,10741
