기관명,기관분류,의료기관분류,응급의료 권역,우편번호,시도,시군구,주소,dutyEmcls,dutyEmclsName,dutyName,dutyTel1,dutyTel3,hpid,phpid,rnum,위도,경도,dgidIdName,dutyEryn,dutyHano,dutyHayn,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpbdn,hperyn,hpgryn,hpnicuyn,hpopyn,hvec,hvgc,hvncc,hvoc,MKioskTy1,MKioskTy10,MKioskTy11,MKioskTy2,MKioskTy25,MKioskTy3,MKioskTy4,MKioskTy5,MKioskTy6,MKioskTy7,MKioskTy8,MKioskTy9,postCdn1,postCdn2,hpccuyn,hpcuyn,hvcc,hvccc,dutyInf,dutyMapimg,hpicuyn,hvicc,dutyTime7c,dutyTime7s,dutyTime8c,dutyTime8s
강릉아산병원,상급종합병원,권역응급의료센터,강원영동,25440,강원,강릉시,강원특별자치도 강릉시 사천면 방동길 38,G001,권역응급의료센터,강릉아산병원,033-610-3114,033-610-3333,A2200008,A2200008,1,37.818426685036066,128.85771413305145,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과보철과,피부과,핵의학과,흉부외과",1,659,1,1730,0830,1730,0830,1730,0830,1730,0830,1730,0830,1230,0830,802,29,693,13,14,22,124,3,7,Y,N1,Y,Y,N,Y,Y,N1,N1,N1,Y,Y,254,40,,,,,,,,,,,,
경북대학교병원,상급종합병원,권역응급의료센터,대구,41944,대구,중구,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",G001,권역응급의료센터,경북대학교병원,053-200-5114,053-200-5100,A1300002,A1300002,1,35.866235497221617,128.60431466100362,"가정의학과,구강내과,구강악안면방사선과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,소아치과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,900,1,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,,,914,22,641,13,16,6,167,-1,9,Y,N1,N1,Y,Y,Y,Y,Y,Y,Y,Y,N1,419,44,10,8,6,8,,,,,,,,
경상국립대학교병원,상급종합병원,권역응급의료센터,경남진주,52727,경남,진주시,경상남도 진주시 강남로 79 (칠암동),G001,권역응급의료센터,경상국립대학교병원,055-750-8000,055-750-8282,A2800001,A2800001,1,35.176340165507916,128.09564813723503,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,피부과,핵의학과,흉부외과",1,873,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,,,899,37,763,25,14,18,326,14,15,Y,N1,Y,Y,Y,N1,Y,N1,N1,Y,Y,Y,527,27,,,,,외국인 통역가능,진주고속버스터미널 부근,,,,,,
고려대학교의과대학부속구로병원,상급종합병원,권역응급의료센터,서울서남,8308,서울,구로구,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",G001,권역응급의료센터,고려대학교의과대학부속구로병원,02-2626-1114,02-2626-1550,A1100014,A1100014,1,37.49211114525054,126.8847449363546,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,예방치과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1081,1,1730,0900,1730,0900,1730,0900,1730,0900,1730,0900,1200,0900,1075,37,894,20,20,14,245,-1,12,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,083,08,,,,,,구로구청 인근,16,1,,,,
고려대학교의과대학부속안산병원,상급종합병원,권역응급의료센터,경기서남,15355,경기,안산시,경기도 안산시 단원구 적금로 123 (고잔동),G001,권역응급의료센터,고려대학교의과대학부속안산병원,031-1577-7516,031-412-5381,A2100003,A2100003,1,37.31885818300129,126.8250018362211,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과교정과,치과보존과,치과보철과,피부과,핵의학과,흉부외과",1,766,1,1630,0930,1630,0930,1630,0930,1630,0930,1730,0830,1200,0930,804,27,699,25,14,21,237,3,9,Y,Y,Y,N1,N1,Y,Y,Y,Y,Y,Y,Y,153,55,,,,,야간 치과 안됨.,지하철 4호선 고잔역 1번 출구,12,,,,,
단국대학교의과대학부속병원,상급종합병원,권역응급의료센터,충남천안,31116,충남,천안시,"충청남도 천안시 동남구 망향로 201 (안서동, 단국대학교의과대학부속병원)",G001,권역응급의료센터,단국대학교의과대학부속병원,041-550-7114,041-550-6840,A2400002,A2400002,2,36.84295215169462,127.17327537305154,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,895,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1230,0900,811,29,591,25,13,14,155,12,2,Y,N1,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,311,16,,,,,권역외상센터/신생아 집중치료/충남광역치매센터,,,,,,,
동아대학교병원,상급종합병원,권역응급의료센터,부산,49201,부산,서구,부산광역시 서구 대신공원로 26 (동대신동3가),G001,권역응급의료센터,동아대학교병원,051-240-2400,051-240-5300,A1200003,A1200003,2,35.12000583968841,129.01760368790894,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,피부과,핵의학과,흉부외과",1,997,1,1630,0800,1630,0800,1630,0800,1630,0800,1630,0800,,,997,31,791,17,15,5,237,1,15,Y,N1,N1,Y,Y,Y,Y,Y,Y,Y,Y,N1,492,01,7,8,5,6,,버스정류장: 동아대 구덕캠퍼스,18,1,,,,
분당서울대학교병원,상급종합병원,권역응급의료센터,경기동남,13620,경기,성남시,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",G001,권역응급의료센터,분당서울대학교병원,031-787-2114,031-787-3119,A2100001,A2100001,4,37.35202597297615,127.12448354572743,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과교정과,치과보존과,치과보철과,치주과,피부과,핵의학과,흉부외과",1,1335,1,1630,0900,1630,0900,1630,0900,1630,0900,1630,0900,1130,0900,1324,36,1337,40,39,-14,393,2,23,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,136,20,,,,,,,,2,,,,
서울대학교병원,상급종합병원,권역응급의료센터,서울서북,3080,서울,종로구,서울특별시 종로구 대학로 101 (연건동),G001,권역응급의료센터,서울대학교병원,1588-5700,02-2072-2475,A1100017,A1100017,2,37.57966608924356,126.99896308412191,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,진단검사의학과,치과,피부과,핵의학과,흉부외과",1,1803,1,1800,0800,1800,0800,1800,0800,1800,0800,1800,0800,1330,0800,1758,41,1497,35,42,1,566,10,34,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,030,80,8,5,4,8,서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요,혜화역 3번 출구,6,,,,,
순천향대학교부속부천병원,상급종합병원,권역응급의료센터,인천,14584,경기,부천시,경기도 부천시 원미구 조마루로 170 (중동),G001,권역응급의료센터,순천향대학교부속부천병원,032-621-5114,032-621-5117,A2100005,A2100005,5,37.49857073407877,126.76238239812001,"가정의학과,내과,마취통증의학과,방사선종양학과,병리과,보건(의료원)소,비뇨기과,산부인과,성형외과,소아청소년과,신경과,신경외과,안과,영상의학과,외과,응급의학과,이비인후과,재활의학과,정신건강의학과,정형외과,조산원,진단검사의학과,치과보철과,피부과,핵의학과,흉부외과",1,897,1,1700,0900,1700,0900,1700,0900,1700,0900,1700,0900,1200,0900,938,25,783,24,19,19,232,7,17,Y,Y,Y,Y,N1,Y,Y,Y,Y,Y,Y,Y,145,84,,,,,,,,,,,,
