시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,경산시,남부동,38645,경북 경산시 경안로 68 (신교동),남부동행정복지센터,128.7391133,35.8137117,4729053000,18560,A2700019,2.4996,A2700036,4.6655,A1300081,11.6917,A1300009,24.3945,20241107_005805
경북,경산시,남산면,38572,경상북도 경산시 산양1길 9-1,남산면행정복지센터,128.8367944,35.793504,4729035000,3583,A2700019,14.578,A2700036,16.1492,A1300081,22.133,A1300009,34.5019,20241107_005806
경북,경산시,남천면,38695,경상북도 경산시 남천면 남천로 465 남천보건지소,남천면행정복지센터,128.72685,35.766667,4729037000,2724,A2700019,8.4717,A2700036,11.8107,A1300081,16.2464,A1300009,28.795,20241107_005807
경북,경산시,동부동,38581,경상북도 경산시 백자로 46,동부동행정복지센터,128.7536901,35.8102508,4729056000,36261,A2700019,4.2589,A2700036,7.4496,A1300081,12.3704,A1300009,24.9304,20241107_005807
경북,경산시,북부동,38615,경상북도 경산시 중방로 125 (계양동),북부동행정복지센터,128.746563,35.83334,4729055000,16449,A2700036,5.3671,A2700019,6.3714,A1300081,10.034,A1300009,24.6696,20241107_005808
경북,경산시,서부1동,38678,경상북도 경산시 경산로 135 서부1동주민센터,서부1동행정복지센터,128.7278782,35.8205779,4729054100,30456,A2700036,5.2684,A2700019,7.1948,A1300081,8.6924,A1300009,22.6192,20241107_005809
경북,경산시,서부2동,38660,경상북도 경산시 경산로44길 7 경상북도 개발공사,서부2동행정복지센터,128.725875,35.8275167,4729054200,40589,A2700036,5.014,A1300081,7.1153,A2700019,7.4131,A1300009,20.5895,20241107_005811
경북,경산시,압량읍,38509,경상북도 경산시 압량읍 부적길 35,압량읍행정복지센터,128.7597871,35.8433007,4729025600,21738,A2700036,8.5012,A2700019,10.937,A1300081,11.9935,A1300009,26.4125,20241107_005811
경북,경산시,와촌면,38412,경상북도 경산시 금송로 416 와촌면행정복지센터,와촌면행정복지센터,128.8365091,35.9462951,4729031000,5257,A2700017,13.9768,A1300018,26.5265,A2700036,26.867,A1300009,27.3038,20241107_005813
경북,경산시,용성면,38561,경상북도 경산시 용성면 원효로 1423,용성면행정복지센터,128.8758276,35.7933343,4729034000,3234,A2700019,19.9462,A2700036,20.9785,A1300081,27.9736,A1300009,41.5396,20241107_005816
경북,경산시,자인면,38555,경상북도 경산시 자인면 일연로 82,자인면행정복지센터,128.8226,35.820858,4729033000,5227,A2700019,14.1125,A2700036,14.2267,A1300081,21.5164,A1300009,31.0506,20241107_005817
경북,경산시,중방동,38624,경상북도 경산시 중앙초등길 62 중방동 행정복지센터,중방동행정복지센터,128.733925,35.827058,4729051000,10810,A2700036,1.9619,A2700019,7.2194,A1300081,9.0626,A1300009,23.3278,20241107_005818
경북,경산시,중앙동,38634,경상북도 경산시 경안로30길 18,중앙동행정복지센터,128.7402826,35.8197951,4729052000,5855,A2700019,2.9275,A2700036,3.923,A1300081,10.9149,A1300009,23.7219,20241107_005819
경북,경산시,진량읍,38487,경상북도 경산시 진량읍 다문로 50,진량읍행정복지센터,128.8162125,35.8739904,4729025300,33548,A2700036,17.6534,A2700017,18.1591,A1300018,18.8782,A1300009,23.461,20241107_005820
경북,경산시,하양읍,38431,경상북도 경산시 하양읍 문화로 36,하양읍행정복지센터,128.8122901,35.9123859,4729025000,32660,A2700017,15.2507,A2700036,23.8164,A1300081,24.1494,A1300009,31.4157,20241107_005821
경북,경주시,감포읍,38125,경상북도 경주시 감포읍 감포로8길 14-8,감포읍행정복지센터,129.5016436,35.8074109,4713025000,5200,A2700008,37.3501,A2700016,39.5687,A2700002,42.2651,A2700002,42.2651,20241107_005822
경북,경주시,강동면,38004,경상북도 경주시 강동면 강동로 19,강동면행정복지센터,129.273313,35.987785,4713037000,5940,A2700016,11.0197,A2700008,13.1438,A2700002,13.8296,A2700002,13.8296,20241107_005823
경북,경주시,건천읍,38178,경상북도 경주시 건천읍 내서로 1106,건천읍행정복지센터,129.1019346,35.8499328,4713025600,9744,A2700003,16.3505,A2700097,16.634,A2700017,21.567,A2700003,16.3505,20241107_005824
경북,경주시,내남면,38193,경상북도 경주시 내남면 이조중앙길 31,내남면행정복지센터,129.2001359,35.7524042,4713033000,4436,A2700097,13.5959,A2700003,14.2406,A2700016,38.97,A2700003,14.2406,20241107_005825
경북,경주시,동천동,38103,경상북도 경주시 대안길 45,동천동행정복지센터,129.2226219,35.8541722,4713063000,20853,A2700097,6.6003,A2700003,7.8772,A2700016,26.769,A2700003,7.8772,20241107_005826
경북,경주시,문무대왕면,38121,경상북도 경주시 문무대왕면 어일중앙길 24,문무대왕면행정복지센터,129.443125,35.791133,4713031500,4114,A2700008,28.0285,A2700016,30.1496,A2700005,32.8019,A2700002,33.071,20241107_005827
경북,경주시,보덕동,38118,경상북도 경주시 경감로 593,보덕동행정복지센터,129.28745,35.834699,4713066000,1658,A2700097,14.1627,A2700003,14.6462,A2700016,33.0229,A2700003,14.6462,20241107_005829
경북,경주시,불국동,38129,경상북도 경주시 산업로 3008,불국동행정복지센터,129.3006248,35.775264,4713065000,9765,A2700097,16.3154,A2700003,19.9784,A2700016,37.0758,A2700003,19.9784,20241107_005830
경북,경주시,산내면,38186,경상북도 경주시 산내면 문복로 1822,산내면행정복지센터,129.0443956,35.7557456,4713034000,3195,A2700097,30.1511,A2700003,30.8748,A2700017,35.7868,A2700003,30.8748,20241107_005831
경북,경주시,서면,38053,경상북도 경주시 서면 내서로 458,서면행정복지센터,129.0525474,35.8913424,4713035000,2983,A2700017,19.7426,A2700003,21.4214,A2700097,22.6477,A2700003,21.4214,20241107_005832
경북,경주시,선도동,38057,경상북도 경주시 태종로 416,선도동행정복지센터,129.1748665,35.8436313,4713059000,14172,A2700003,7.4765,A2700097,9.3511,A2700008,35.1258,A2700003,7.4765,20241107_005833
경북,경주시,성건동,38135,경상북도 경주시 금성로 370,성건동행정복지센터,129.20735,35.850824,4713055000,13164,A2700097,3.4435,A2700003,4.1562,A2700016,29.5299,A2700003,4.1562,20241107_005833
경북,경주시,안강읍,38023,경상북도 경주시 안강읍 비화원로 47,안강읍행정복지센터,129.2270258,35.990128,4713025300,22597,A2700016,15.1981,A2700003,15.3787,A2700008,17.3556,A2700003,15.3787,20241107_005834
경북,경주시,양남면,38220,경상북도 경주시 양남면 다래길 8,양남면행정복지센터,129.4603262,35.6778108,4713032000,6363,A2700008,44.4507,A2700016,46.4143,A2700005,49.3059,A2700002,49.4541,20241107_005835
경북,경주시,외동읍,38213,경상북도 경주시 외동읍 읍청사로 25,외동읍행정복지센터,129.327637,35.7175474,4713025900,21587,A2700097,24.7362,A2700003,29.0424,A2700008,38.8825,A2700003,29.0424,20241107_005837
경북,경주시,용강동,38095,경상북도 경주시 토용길 20,용강동행정복지센터,129.223187,35.864257,4713061500,25317,A2700097,7.2214,A2700003,7.5856,A2700016,24.4411,A2700003,7.5856,20241107_005838
경북,경주시,월성동,38164,경상북도 경주시 원화로 177,월성동행정복지센터,129.219575,35.83654,4713060500,5494,A2700097,7.9752,A2700003,9.4811,A2700016,32.5622,A2700003,9.4811,20241107_005839
경북,경주시,중부동,38157,경상북도 경주시 원효로 50,중부동행정복지센터,129.2062327,35.8420342,4713051500,4641,A2700097,3.4129,A2700003,6.0175,A2700016,31.2019,A2700003,6.0175,20241107_005839
경북,경주시,천북면,38035,경상북도 경주시 천북면 천북로 383,천북면행정복지센터,129.2711256,35.8953299,4713038000,5583,A2700003,13.1267,A2700097,16.2839,A2700008,23.2761,A2700003,13.1267,20241107_005840
경북,경주시,현곡면,38051,경상북도 경주시 현곡면 금장2길 12,현곡면행정복지센터,129.2023949,35.8664403,4713036000,21853,A2700003,2.7856,A2700097,7.6573,A2700016,24.9391,A2700003,2.7856,20241107_005841
경북,경주시,황남동,38167,경상북도 경주시 첨성로 47,황남동행정복지센터,129.2075032,35.8335506,4713057000,3867,A2700097,5.351,A2700003,6.4556,A2700016,31.3561,A2700003,6.4556,20241107_005842
경북,경주시,황성동,38074,경상북도 경주시 갓뒤동녘길 37,황성동행정복지센터,129.219185,35.8722285,4713062100,27118,A2700003,7.2286,A2700097,9.3326,A2700016,25.4145,A2700003,7.2286,20241107_005843
