시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,경산시,남부동,38645,경북 경산시 경안로 68 (신교동),남부동행정복지센터,128.7391133,35.8137117,4729053000,18560,A2700019,2.7055,A2700036,5.6476,A1300081,14.1136,A1300002,29.7968,20241114_111024
경북,경산시,남산면,38572,경상북도 경산시 산양1길 9-1,남산면행정복지센터,128.8367944,35.793504,4729035000,3583,A2700019,15.209,A2700036,17.8689,A1300081,24.5149,A1300002,40.9271,20241114_111025
경북,경산시,남천면,38695,경상북도 경산시 남천면 남천로 465 남천보건지소,남천면행정복지센터,128.72685,35.766667,4729037000,2724,A2700019,8.9837,A2700036,14.1069,A2700038,16.2606,A1300002,35.2932,20241114_111027
경북,경산시,동부동,38581,경상북도 경산시 백자로 46,동부동행정복지센터,128.7536901,35.8102508,4729056000,36261,A2700019,5.5445,A2700036,9.0947,A1300081,15.4096,A1300002,32.1331,20241114_111028
경북,경산시,북부동,38615,경상북도 경산시 중방로 125 (계양동),북부동행정복지센터,128.746563,35.83334,4729055000,16449,A2700036,6.6154,A2700019,7.4729,A1300081,12.8628,A1300002,29.8154,20241114_111029
경북,경산시,서부1동,38678,경상북도 경산시 경산로 135 서부1동주민센터,서부1동행정복지센터,128.7278782,35.8205779,4729054100,30456,A2700036,6.2011,A2700019,8.8621,A1300081,10.1858,A1300002,26.5694,20241114_111030
경북,경산시,서부2동,38660,경상북도 경산시 경산로44길 7 경상북도 개발공사,서부2동행정복지센터,128.725875,35.8275167,4729054200,40589,A2700036,6.3217,A1300081,8.2116,A2700019,8.5218,A1300002,24.1366,20241114_111032
경북,경산시,압량읍,38509,경상북도 경산시 압량읍 부적길 35,압량읍행정복지센터,128.7597871,35.8433007,4729025600,21738,A2700036,10.2101,A2700019,13.2856,A1300081,14.13,A1300002,31.404,20241114_111033
경북,경산시,와촌면,38412,경상북도 경산시 금송로 416 와촌면행정복지센터,와촌면행정복지센터,128.8365091,35.9462951,4729031000,5257,A2700017,16.3472,A1300018,28.8173,A1300081,29.7994,A1300009,29.8469,20241114_111035
경북,경산시,용성면,38561,경상북도 경산시 용성면 원효로 1423,용성면행정복지센터,128.8758276,35.7933343,4729034000,3234,A2700019,21.2302,A2700036,22.7104,A2700017,31.4539,A1300002,47.3479,20241114_111036
경북,경산시,자인면,38555,경상북도 경산시 자인면 일연로 82,자인면행정복지센터,128.8226,35.820858,4729033000,5227,A2700019,15.1493,A2700036,15.3326,A1300081,24.5721,A1300002,35.1563,20241114_111038
경북,경산시,중방동,38624,경상북도 경산시 중앙초등길 62 중방동 행정복지센터,중방동행정복지센터,128.733925,35.827058,4729051000,10810,A2700036,2.3973,A2700019,8.6642,A1300081,11.0155,A1300002,27.8369,20241114_111039
경북,경산시,중앙동,38634,경상북도 경산시 경안로30길 18,중앙동행정복지센터,128.7402826,35.8197951,4729052000,5855,A2700019,3.3539,A2700036,4.4829,A1300081,13.2792,A1300002,28.8009,20241114_111040
경북,경산시,진량읍,38487,경상북도 경산시 진량읍 다문로 50,진량읍행정복지센터,128.8162125,35.8739904,4729025300,33548,A2700019,21.4716,A1300018,21.8859,A2700036,22.2335,A1300002,27.2846,20241114_111042
경북,경산시,하양읍,38431,경상북도 경산시 하양읍 문화로 36,하양읍행정복지센터,128.8122901,35.9123859,4729025000,32660,A2700017,19.2268,A1300081,29.1209,A2700036,29.226,A1300009,39.9233,20241114_111043
경북,경주시,감포읍,38125,경상북도 경주시 감포읍 감포로8길 14-8,감포읍행정복지센터,129.5016436,35.8074109,4713025000,5200,A2700008,39.8156,A2700016,43.5524,A2700005,45.0475,A2700016,43.5524,20241114_111045
경북,경주시,강동면,38004,경상북도 경주시 강동면 강동로 19,강동면행정복지센터,129.273313,35.987785,4713037000,5940,A2700016,12.257,A2700008,12.5111,A2700005,15.3224,A2700016,12.257,20241114_111047
경북,경주시,건천읍,38178,경상북도 경주시 건천읍 내서로 1106,건천읍행정복지센터,129.1019346,35.8499328,4713025600,9744,A2700003,17.4401,A2700097,18.6848,A2700017,22.9132,A2700003,17.4401,20241114_111048
경북,경주시,내남면,38193,경상북도 경주시 내남면 이조중앙길 31,내남면행정복지센터,129.2001359,35.7524042,4713033000,4436,A2700097,16.0323,A2700003,16.8624,A2700008,44.2308,A2700003,16.8565,20241114_111050
경북,경주시,동천동,38103,경상북도 경주시 대안길 45,동천동행정복지센터,129.2226219,35.8541722,4713063000,20853,A2700097,8.0486,A2700003,8.3826,A2700008,30.2185,A2700003,8.3826,20241114_111051
경북,경주시,문무대왕면,38121,경상북도 경주시 문무대왕면 어일중앙길 24,문무대왕면행정복지센터,129.443125,35.791133,4713031500,4114,A2700008,29.3979,A2700016,33.1117,A2700005,34.4188,A2700016,33.1123,20241114_111053
경북,경주시,보덕동,38118,경상북도 경주시 경감로 593,보덕동행정복지센터,129.28745,35.834699,4713066000,1658,A2700097,15.3672,A2700003,16.6733,A2700008,38.7779,A2700003,16.6733,20241114_111055
경북,경주시,불국동,38129,경상북도 경주시 산업로 3008,불국동행정복지센터,129.3006248,35.775264,4713065000,9765,A2700097,19.2416,A2700003,24.3136,A2700008,40.6343,A2700003,24.3078,20241114_111056
경북,경주시,산내면,38186,경상북도 경주시 산내면 문복로 1822,산내면행정복지센터,129.0443956,35.7557456,4713034000,3195,A2700003,30.4906,A2700097,33.6098,A2700017,36.7704,A2700003,30.5627,20241114_111059
경북,경주시,서면,38053,경상북도 경주시 서면 내서로 458,서면행정복지센터,129.0525474,35.8913424,4713035000,2983,A2700017,19.6996,A2700003,21.0344,A2700097,24.1132,A2700003,21.0348,20241114_111101
경북,경주시,선도동,38057,경상북도 경주시 태종로 416,선도동행정복지센터,129.1748665,35.8436313,4713059000,14172,A2700003,8.3581,A2700097,10.7942,A2700008,36.3317,A2700003,8.3581,20241114_111102
경북,경주시,성건동,38135,경상북도 경주시 금성로 370,성건동행정복지센터,129.20735,35.850824,4713055000,13164,A2700097,3.3934,A2700003,4.536,A2700008,33.1781,A2700003,4.536,20241114_111104
경북,경주시,안강읍,38023,경상북도 경주시 안강읍 비화원로 47,안강읍행정복지센터,129.2270258,35.990128,4713025300,22597,A2700003,16.1342,A2700008,17.0225,A2700016,17.4028,A2700003,16.1342,20241114_111105
경북,경주시,양남면,38220,경상북도 경주시 양남면 다래길 8,양남면행정복지센터,129.4603262,35.6778108,4713032000,6363,A2700008,47.1051,A2700016,50.7198,A2700005,52.2216,A2700016,50.7214,20241114_111107
경북,경주시,외동읍,38213,경상북도 경주시 외동읍 읍청사로 25,외동읍행정복지센터,129.327637,35.7175474,4713025900,21587,A2700097,28.8521,A2700003,34.6151,A2700008,39.1118,A2700003,34.6151,20241114_111109
경북,경주시,용강동,38095,경상북도 경주시 토용길 20,용강동행정복지센터,129.223187,35.864257,4713061500,25317,A2700097,8.7708,A2700003,9.1804,A2700008,27.2079,A2700003,9.1804,20241114_111110
경북,경주시,월성동,38164,경상북도 경주시 원화로 177,월성동행정복지센터,129.219575,35.83654,4713060500,5494,A2700097,7.9752,A2700003,11.6428,A2700008,35.8634,A2700003,11.6428,20241114_111111
경북,경주시,중부동,38157,경상북도 경주시 원효로 50,중부동행정복지센터,129.2062327,35.8420342,4713051500,4641,A2700097,4.7736,A2700003,7.1145,A2700008,35.1774,A2700003,7.1145,20241114_111113
경북,경주시,천북면,38035,경상북도 경주시 천북면 천북로 383,천북면행정복지센터,129.2711256,35.8953299,4713038000,5583,A2700003,15.1238,A2700097,19.5896,A2700008,24.2638,A2700003,15.1238,20241114_111114
경북,경주시,현곡면,38051,경상북도 경주시 현곡면 금장2길 12,현곡면행정복지센터,129.2023949,35.8664403,4713036000,21853,A2700003,2.8415,A2700097,8.3944,A2700008,27.9874,A2700003,2.8415,20241114_111116
경북,경주시,황남동,38167,경상북도 경주시 첨성로 47,황남동행정복지센터,129.2075032,35.8335506,4713057000,3867,A2700097,4.6507,A2700003,7.7406,A2700008,36.7145,A2700003,7.7406,20241114_111117
경북,경주시,황성동,38074,경상북도 경주시 갓뒤동녘길 37,황성동행정복지센터,129.219185,35.8722285,4713062100,27118,A2700003,9.6023,A2700097,10.6321,A2700008,27.9447,A2700003,9.6023,20241114_111118
경북,경주시,황오동,38146,경상북도 경주시 북성로 130,황오동행정복지센터,129.216013,35.84694,4713053000,5721,A2700097,3.7261,A2700003,8.5077,A2700008,32.4823,A2700003,8.5077,20241114_111120
경북,고령군,개진면,40147,경상북도 고령군 개진면 개경포로 589-9,개진면행정복지센터,128.3502095,35.708153,4783035000,1837,A2700070,12.62,A1303449,23.7329,A1300003,41.0525,A1300003,41.0526,20241114_111121
경북,고령군,다산면,40104,경상북도 고령군 다산면 다산로 681,다산면행정복지센터,128.4521122,35.8226936,4783034000,8474,A1300038,16.8523,A1300006,19.0611,A1300003,20.5408,A1300004,20.3065,20241114_111123
경북,고령군,대가야읍,40136,경상북도 고령군 대가야읍 중앙로 1,대가야읍행정복지센터,128.2679275,35.7304254,4783025300,9450,A2700070,1.9641,A1303449,29.0697,A2700030,31.62,A1300003,36.613,20241114_111124
경북,고령군,덕곡면,40127,경상북도 고령군 덕곡면 덕운로 570,덕곡면행정복지센터,128.232937,35.77935,4783031000,1444,A2700070,11.2869,A2700030,30.9277,A2700066,42.1804,A2700013,54.7767,20241114_111126
경북,고령군,성산면,40118,경상북도 고령군 성산면 성산로 897,성산면행정복지센터,128.359862,35.749926,4783033000,2489,A2700070,10.1777,A1303449,19.4,A2700030,25.8793,A1300003,27.0002,20241114_111127
경북,고령군,쌍림면,40163,경상북도 고령군 쌍림면 대가야로 613,쌍림면행정복지센터,128.2418429,35.679681,4783037000,3233,A2700070,8.0612,A1303449,27.5868,A2700030,33.5778,A1300003,35.0089,20241114_111130
