시도,시군구,읍면동,우편번호,주소,센터명,경도,위도,행정구역코드,인구수,nearest_er_hpid_1st,nearest_er_travel_time_1st,nearest_er_hpid_2nd,nearest_er_travel_time_2nd,nearest_er_hpid_3rd,nearest_er_travel_time_3rd,nearest_er_hpid_center,nearest_er_travel_time_center,측정시각
경북,경산시,남부동,38645,경북 경산시 경안로 68 (신교동),남부동행정복지센터,128.7391133,35.8137117,4729053000,18560,A2700019,3.2262,A2700036,5.1185,A1300081,15.7579,A1300009,33.8297,20241110_183752
경북,경산시,남산면,38572,경상북도 경산시 산양1길 9-1,남산면행정복지센터,128.8367944,35.793504,4729035000,3583,A2700019,15.534,A2700036,18.2736,A1300081,27.1477,A1300009,42.4677,20241110_183753
경북,경산시,남천면,38695,경상북도 경산시 남천면 남천로 465 남천보건지소,남천면행정복지센터,128.72685,35.766667,4729037000,2724,A2700019,11.0642,A2700036,16.2097,A2700038,16.5805,A1300009,39.6008,20241110_183755
경북,경산시,동부동,38581,경상북도 경산시 백자로 46,동부동행정복지센터,128.7536901,35.8102508,4729056000,36261,A2700019,5.19,A2700036,9.4576,A1300081,18.4599,A1300009,34.3809,20241110_183756
경북,경산시,북부동,38615,경상북도 경산시 중방로 125 (계양동),북부동행정복지센터,128.746563,35.83334,4729055000,16449,A2700036,5.82,A2700019,8.237,A1300081,13.825,A1300009,31.5974,20241110_183757
경북,경산시,서부1동,38678,경상북도 경산시 경산로 135 서부1동주민센터,서부1동행정복지센터,128.7278782,35.8205779,4729054100,30456,A2700036,7.665,A2700019,7.9615,A1300081,11.639,A1300009,28.4966,20241110_183758
경북,경산시,서부2동,38660,경상북도 경산시 경산로44길 7 경상북도 개발공사,서부2동행정복지센터,128.725875,35.8275167,4729054200,40589,A2700036,5.8312,A2700019,8.8595,A1300081,9.317,A1300009,25.961,20241110_183759
경북,경산시,압량읍,38509,경상북도 경산시 압량읍 부적길 35,압량읍행정복지센터,128.7597871,35.8433007,4729025600,21738,A2700036,10.1116,A2700019,13.5316,A1300081,15.6023,A1300009,34.5195,20241110_183800
경북,경산시,와촌면,38412,경상북도 경산시 금송로 416 와촌면행정복지센터,와촌면행정복지센터,128.8365091,35.9462951,4729031000,5257,A2700017,16.7822,A2700036,35.023,A1300081,35.7035,A1300009,43.285,20241110_183802
경북,경산시,용성면,38561,경상북도 경산시 용성면 원효로 1423,용성면행정복지센터,128.8758276,35.7933343,4729034000,3234,A2700019,22.9201,A2700036,23.4567,A2700017,31.7628,A1300009,47.8737,20241110_183804
경북,경산시,자인면,38555,경상북도 경산시 자인면 일연로 82,자인면행정복지센터,128.8226,35.820858,4729033000,5227,A2700036,15.776,A2700019,16.1314,A1300081,26.8005,A1300009,36.7073,20241110_183805
경북,경산시,중방동,38624,경상북도 경산시 중앙초등길 62 중방동 행정복지센터,중방동행정복지센터,128.733925,35.827058,4729051000,10810,A2700036,2.1441,A2700019,8.0997,A1300081,11.6016,A1300009,29.7614,20241110_183806
경북,경산시,중앙동,38634,경상북도 경산시 경안로30길 18,중앙동행정복지센터,128.7402826,35.8197951,4729052000,5855,A2700019,3.7171,A2700036,4.4241,A1300081,15.6599,A1300009,33.1915,20241110_183807
경북,경산시,진량읍,38487,경상북도 경산시 진량읍 다문로 50,진량읍행정복지센터,128.8162125,35.8739904,4729025300,33548,A1300018,21.4431,A2700017,22.1593,A2700036,22.1835,A1300009,29.3648,20241110_183808
경북,경산시,하양읍,38431,경상북도 경산시 하양읍 문화로 36,하양읍행정복지센터,128.8122901,35.9123859,4729025000,32660,A2700017,18.0435,A2700036,29.8356,A1300018,30.4836,A1300009,39.2302,20241110_183810
경북,경주시,감포읍,38125,경상북도 경주시 감포읍 감포로8길 14-8,감포읍행정복지센터,129.5016436,35.8074109,4713025000,5200,A2700008,42.1619,A2700016,45.8772,A2700005,47.5151,A2700002,48.9029,20241110_183811
경북,경주시,강동면,38004,경상북도 경주시 강동면 강동로 19,강동면행정복지센터,129.273313,35.987785,4713037000,5940,A2700008,12.49,A2700016,13.2608,A2700005,15.8223,A2700002,17.8355,20241110_183813
경북,경주시,건천읍,38178,경상북도 경주시 건천읍 내서로 1106,건천읍행정복지센터,129.1019346,35.8499328,4713025600,9744,A2700003,18.0606,A2700097,19.7123,A2700017,23.9887,A2700003,18.0613,20241110_183813
경북,경주시,내남면,38193,경상북도 경주시 내남면 이조중앙길 31,내남면행정복지센터,129.2001359,35.7524042,4713033000,4436,A2700097,17.4339,A2700003,17.5179,A2700008,45.8257,A2700003,17.518,20241110_183815
경북,경주시,동천동,38103,경상북도 경주시 대안길 45,동천동행정복지센터,129.2226219,35.8541722,4713063000,20853,A2700097,7.3632,A2700003,8.1729,A2700008,31.7776,A2700003,8.1729,20241110_183816
경북,경주시,문무대왕면,38121,경상북도 경주시 문무대왕면 어일중앙길 24,문무대왕면행정복지센터,129.443125,35.791133,4713031500,4114,A2700008,30.3539,A2700016,34.0765,A2700005,35.7119,A2700002,37.0087,20241110_183817
경북,경주시,보덕동,38118,경상북도 경주시 경감로 593,보덕동행정복지센터,129.28745,35.834699,4713066000,1658,A2700003,18.1729,A2700097,18.844,A2700008,41.7382,A2700003,18.1733,20241110_183818
경북,경주시,불국동,38129,경상북도 경주시 산업로 3008,불국동행정복지센터,129.3006248,35.775264,4713065000,9765,A2700097,20.9151,A2700003,25.4934,A2700008,41.8451,A2700003,25.4888,20241110_183820
경북,경주시,산내면,38186,경상북도 경주시 산내면 문복로 1822,산내면행정복지센터,129.0443956,35.7557456,4713034000,3195,A2700003,31.1339,A2700097,32.6,A2700017,37.9227,A2700003,31.1339,20241110_183821
경북,경주시,서면,38053,경상북도 경주시 서면 내서로 458,서면행정복지센터,129.0525474,35.8913424,4713035000,2983,A2700017,20.6853,A2700003,22.0863,A2700097,24.9996,A2700003,22.0848,20241110_183822
경북,경주시,선도동,38057,경상북도 경주시 태종로 416,선도동행정복지센터,129.1748665,35.8436313,4713059000,14172,A2700003,8.6198,A2700097,10.799,A2700008,37.9059,A2700003,8.6237,20241110_183823
경북,경주시,성건동,38135,경상북도 경주시 금성로 370,성건동행정복지센터,129.20735,35.850824,4713055000,13164,A2700097,3.4527,A2700003,5.3615,A2700008,34.6138,A2700003,5.3615,20241110_183824
