시도,시군구,읍면동,행정구역코드,인구수
서울,종로구,청운효자동,1111051500,11143
서울,종로구,사직동,1111053000,8995
서울,종로구,삼청동,1111054000,2234
서울,종로구,부암동,1111055000,9054
서울,종로구,평창동,1111056000,17232
서울,종로구,무악동,1111057000,7876
서울,종로구,교남동,1111058000,9621
서울,종로구,가회동,1111060000,3826
서울,종로구,종로1.2.3.4가동,1111061500,6708
서울,종로구,종로5.6가동,1111063000,5306
서울,종로구,이화동,1111064000,7012
서울,종로구,혜화동,1111065000,15980
서울,종로구,창신1동,1111067000,4446
서울,종로구,창신2동,1111068000,7380
서울,종로구,창신3동,1111069000,6246
서울,종로구,숭인1동,1111070000,5756
서울,종로구,숭인2동,1111071000,10064
서울,중구,소공동,1114052000,2196
서울,중구,회현동,1114054000,4317
서울,중구,명동,1114055000,2560
서울,중구,필동,1114057000,4321
서울,중구,장충동,1114058000,4557
서울,중구,광희동,1114059000,5771
서울,중구,을지로동,1114060500,3125
서울,중구,신당동,1114061500,7394
서울,중구,다산동,1114062500,13091
서울,중구,약수동,1114063500,16017
서울,중구,청구동,1114064500,12847
서울,중구,신당5동,1114065000,10104
서울,중구,동화동,1114066500,9877
서울,중구,황학동,1114067000,13041
서울,중구,중림동,1114068000,12106
서울,용산구,후암동,1117051000,15888
서울,용산구,용산2가동,1117052000,8759
서울,용산구,남영동,1117053000,6756
서울,용산구,청파동,1117055500,18713
서울,용산구,원효로1동,1117056000,17036
서울,용산구,원효로2동,1117057000,13518
서울,용산구,효창동,1117058000,10550
서울,용산구,용문동,1117059000,11209
서울,용산구,한강로동,1117062500,20929
서울,용산구,이촌1동,1117063000,24955
서울,용산구,이촌2동,1117064000,7752
서울,용산구,이태원1동,1117065000,6077
서울,용산구,이태원2동,1117066000,8716
서울,용산구,한남동,1117068500,14340
서울,용산구,서빙고동,1117069000,12562
서울,용산구,보광동,1117070000,7385
서울,성동구,왕십리2동,1120052000,16031
서울,성동구,왕십리도선동,1120053500,26154
서울,성동구,마장동,1120054000,21382
서울,성동구,사근동,1120055000,12101
서울,성동구,행당1동,1120056000,13726
서울,성동구,행당2동,1120057000,22653
서울,성동구,응봉동,1120058000,14808
서울,성동구,금호1가동,1120059000,14612
서울,성동구,금호2.3가동,1120061500,21630
서울,성동구,금호4가동,1120062000,14090
서울,성동구,옥수동,1120064500,25375
서울,성동구,성수1가1동,1120065000,15338
서울,성동구,성수1가2동,1120066000,11749
서울,성동구,성수2가1동,1120067000,14282
서울,성동구,성수2가3동,1120069000,9787
서울,성동구,송정동,1120072000,9572
서울,성동구,용답동,1120079000,12113
서울,광진구,화양동,1121571000,23130
서울,광진구,군자동,1121573000,18868
서울,광진구,중곡1동,1121574000,15125
서울,광진구,중곡2동,1121575000,20253
서울,광진구,중곡3동,1121576000,15432
서울,광진구,중곡4동,1121577000,27426
서울,광진구,능동,1121578000,10986
서울,광진구,광장동,1121581000,33891
서울,광진구,자양1동,1121582000,21789
서울,광진구,자양2동,1121583000,23553
서울,광진구,자양3동,1121584000,27117
서울,광진구,자양4동,1121584700,19677
서울,광진구,구의1동,1121585000,22987
서울,광진구,구의2동,1121586000,25411
서울,광진구,구의3동,1121587000,27758
서울,동대문구,용신동,1123053600,38677
서울,동대문구,제기동,1123054500,22794
서울,동대문구,전농1동,1123056000,32993
서울,동대문구,전농2동,1123057000,17741
서울,동대문구,답십리1동,1123060000,27825
서울,동대문구,답십리2동,1123061000,27219
서울,동대문구,장안1동,1123065000,37259
서울,동대문구,장안2동,1123066000,32739
서울,동대문구,청량리동,1123070500,18521
서울,동대문구,회기동,1123071000,10348
서울,동대문구,휘경1동,1123072000,13680
서울,동대문구,휘경2동,1123073000,24213
서울,동대문구,이문1동,1123074000,17562
서울,동대문구,이문2동,1123075000,19115
서울,중랑구,면목2동,1126052000,23341
서울,중랑구,면목4동,1126054000,17954
서울,중랑구,면목5동,1126055000,14360
서울,중랑구,면목본동,1126056500,32485
서울,중랑구,면목7동,1126057000,21047
서울,중랑구,면목3.8동,1126057500,23955
서울,중랑구,상봉1동,1126058000,22869
서울,중랑구,상봉2동,1126059000,20729
서울,중랑구,중화1동,1126060000,18383
서울,중랑구,중화2동,1126061000,23556
서울,중랑구,묵1동,1126062000,33403
서울,중랑구,묵2동,1126063000,17985
서울,중랑구,망우본동,1126065500,38119
서울,중랑구,망우3동,1126066000,15464
서울,중랑구,신내1동,1126068000,37251
서울,중랑구,신내2동,1126069000,19452
서울,성북구,성북동,1129052500,15897
서울,성북구,삼선동,1129055500,21950
서울,성북구,동선동,1129057500,15081
서울,성북구,돈암1동,1129058000,14063
서울,성북구,돈암2동,1129059000,23302
서울,성북구,안암동,1129060000,15264
서울,성북구,보문동,1129061000,16114
서울,성북구,정릉1동,1129062000,17657
서울,성북구,정릉2동,1129063000,22256
서울,성북구,정릉3동,1129064000,14732
서울,성북구,정릉4동,1129065000,23950
서울,성북구,길음1동,1129066000,35472
서울,성북구,길음2동,1129068500,21400
서울,성북구,종암동,1129070500,37188
서울,성북구,월곡1동,1129071500,25246
서울,성북구,월곡2동,1129072500,18774
서울,성북구,장위1동,1129076000,23162
서울,성북구,장위2동,1129077000,12892
서울,성북구,장위3동,1129078000,15491
서울,성북구,석관동,1129081000,33548
서울,강북구,삼양동,1130553400,22885
서울,강북구,미아동,1130553500,20616
서울,강북구,송중동,1130554500,28112
서울,강북구,송천동,1130555500,24035
서울,강북구,삼각산동,1130557500,30282
서울,강북구,번1동,1130559500,16333
서울,강북구,번2동,1130560300,14681
서울,강북구,번3동,1130560800,16095
서울,강북구,수유1동,1130561500,19718
서울,강북구,수유2동,1130562500,20291
서울,강북구,수유3동,1130563500,22873
서울,강북구,우이동,1130564500,19716
서울,강북구,인수동,1130566000,28676
서울,도봉구,창1동,1132051100,23813
서울,도봉구,창2동,1132051200,27816
