hpid1,hpid2,travel_time,측정시각
A1300001,A1300002,10.9932,241031_003737
A1300001,A1300003,24.0328,241031_003737
A1300001,A1300004,8.5942,241031_003737
A1300001,A1300005,25.8374,241031_003737
A1300001,A1300006,13.2751,241031_003737
A1300001,A1300007,14.0243,241031_003737
A1300001,A1300008,11.4395,241031_003737
A1300001,A1300009,16.2741,241031_003737
A1300001,A1300010,23.8492,241031_003737
A1300001,A1300011,15.8689,241031_003737
A1300001,A1300018,23.1553,241031_003737
A1300001,A1300033,13.0901,241031_003737
A1300001,A1300034,6.8483,241031_003737
A1300001,A1300038,16.5955,241031_003737
A1300001,A1300045,12.3446,241031_003737
A1300001,A1300076,7.0579,241031_003737
A1300001,A1300081,24.0398,241031_003737
A1300001,A1300110,13.2251,241031_003737
A1300001,A1303386,8.0671,241031_003737
A1300001,A1303449,29.3018,241031_003737
A1300001,A2700001,83.1266,241031_003737
A1300001,A2700002,70.3258,241031_003737
A1300001,A2700003,62.7899,241031_003737
A1300001,A2700004,81.4643,241031_003737
A1300001,A2700005,68.6924,241031_003737
A1300001,A2700006,83.0236,241031_003737
A1300001,A2700007,44.6258,241031_003737
A1300001,A2700008,66.0797,241031_003737
A1300001,A2700009,74.5559,241031_003737
A1300001,A2700011,74.3469,241031_003737
A1300001,A2700012,59.2997,241031_003737
A1300001,A2700013,46.3557,241031_003737
A1300001,A2700014,76.9041,241031_003737
A1300001,A2700015,52.173,241031_003737
A1300001,A2700016,66.425,241031_003737
A1300001,A2700017,51.5417,241031_003737
A1300001,A2700018,58.6912,241031_003737
A1300001,A2700019,29.1967,241031_003737
A1300001,A2700020,95.984,241031_003737
A1300001,A2700023,89.6914,241031_003737
A1300001,A2700026,113.9353,241031_003737
A1300001,A2700030,46.495,241031_003737
A1300001,A2700031,97.2578,241031_003737
A1300001,A2700036,31.7079,241031_003737
A1300001,A2700038,36.2396,241031_003737
A1300001,A2700052,156.3682,241031_003737
A1300001,A2700063,72.0262,241031_003737
A1300001,A2700066,37.6878,241031_003737
A1300001,A2700070,38.3085,241031_003737
A1300001,A2700071,109.3735,241031_003737
A1300001,A2700097,61.9263,241031_003737
A1300001,A2702563,70.4299,241031_003737
A1300001,A2702752,95.4921,241031_003737
A1300001,E2700553,344.3581,241031_003737
A1300001,E2700554,88.0645,241031_003737
A1300002,A1300001,11.9166,241031_003737
A1300002,A1300003,26.502,241031_003737
A1300002,A1300004,14.215,241031_003737
A1300002,A1300005,19.3062,241031_003737
A1300002,A1300006,15.7348,241031_003737
A1300002,A1300007,16.5493,241031_003737
A1300002,A1300008,5.5313,241031_003737
A1300002,A1300009,9.9011,241031_003737
A1300002,A1300010,20.1659,241031_003737
A1300002,A1300011,17.6549,241031_003737
A1300002,A1300018,17.1991,241031_003737
A1300002,A1300033,7.1591,241031_003737
A1300002,A1300034,12.1228,241031_003737
A1300002,A1300038,19.694,241031_003737
A1300002,A1300045,15.9119,241031_003737
A1300002,A1300076,11.9671,241031_003737
A1300002,A1300081,20.6165,241031_003737
A1300002,A1300110,15.6489,241031_003737
A1300002,A1303386,8.498,241031_003737
A1300002,A1303449,31.3471,241031_003737
A1300002,A2700001,75.4748,241031_003737
