hpid1,hpid2,travel_time,측정시각
A1300001,A1300002,14.259,241114_121943
A1300001,A1300003,29.3959,241114_121943
A1300001,A1300004,10.9012,241114_121943
A1300001,A1300005,29.9139,241114_121943
A1300001,A1300006,18.1739,241114_121943
A1300001,A1300007,20.4191,241114_121943
A1300001,A1300008,16.725,241114_121943
A1300001,A1300009,21.5605,241114_121943
A1300001,A1300010,30.039,241114_121943
A1300001,A1300011,22.7332,241114_121943
A1300001,A1300018,32.1316,241114_121943
A1300001,A1300033,17.6508,241114_121943
A1300001,A1300034,8.5516,241114_121943
A1300001,A1300038,21.5845,241114_121943
A1300001,A1300045,15.503,241114_121943
A1300001,A1300076,7.9205,241114_121943
A1300001,A1300081,29.8529,241114_121943
A1300001,A1300110,18.1791,241114_121943
A1300001,A1303386,9.5076,241114_121943
A1300001,A1303449,36.7867,241114_121943
A1300001,A2700001,92.2581,241114_121943
A1300001,A2700002,79.9556,241114_121943
A1300001,A2700003,70.5228,241114_121943
A1300001,A2700004,85.0686,241114_121943
A1300001,A2700005,74.7582,241114_121943
A1300001,A2700006,84.9521,241114_121943
A1300001,A2700007,51.4646,241114_121943
A1300001,A2700008,68.8307,241114_121943
A1300001,A2700009,78.2597,241114_121943
A1300001,A2700011,80.2268,241114_121943
A1300001,A2700012,64.89,241114_121943
A1300001,A2700013,49.4044,241114_121943
A1300001,A2700014,79.4776,241114_121943
A1300001,A2700015,55.8995,241114_121943
A1300001,A2700016,73.6622,241114_121943
A1300001,A2700017,56.1275,241114_121943
A1300001,A2700018,64.6043,241114_121943
A1300001,A2700019,34.4807,241114_121943
A1300001,A2700020,103.279,241114_121943
A1300001,A2700023,91.6916,241114_121943
A1300001,A2700026,121.799,241114_121943
A1300001,A2700030,50.9672,241114_121943
A1300001,A2700031,104.1866,241114_121943
A1300001,A2700036,38.6273,241114_121943
A1300001,A2700038,44.9801,241114_121943
A1300001,A2700052,159.0456,241114_121943
A1300001,A2700063,79.2898,241114_121943
A1300001,A2700066,39.6228,241114_121943
A1300001,A2700070,43.437,241114_121943
A1300001,A2700071,110.5205,241114_121943
A1300001,A2700097,70.4185,241114_121943
A1300001,A2702563,77.9577,241114_121943
A1300001,A2702752,102.4889,241114_121943
A1300001,E2700553,377.145,241114_121943
A1300001,E2700554,89.0183,241114_121943
A1300002,A1300001,14.1965,241114_121943
A1300002,A1300003,30.5423,241114_121943
A1300002,A1300004,18.3399,241114_121943
A1300002,A1300005,24.8893,241114_121943
A1300002,A1300006,19.1426,241114_121943
A1300002,A1300007,21.3527,241114_121943
A1300002,A1300008,7.7368,241114_121943
A1300002,A1300009,13.7496,241114_121943
A1300002,A1300010,24.1436,241114_121943
A1300002,A1300011,22.3679,241114_121943
A1300002,A1300018,23.5229,241114_121943
A1300002,A1300033,9.6842,241114_121943
A1300002,A1300034,15.9131,241114_121943
A1300002,A1300038,24.3359,241114_121943
A1300002,A1300045,18.8022,241114_121943
A1300002,A1300076,15.8767,241114_121943
A1300002,A1300081,24.4467,241114_121943
A1300002,A1300110,19.0754,241114_121943
A1300002,A1303386,9.5217,241114_121943
A1300002,A1303449,37.1828,241114_121943
A1300002,A2700001,82.8757,241114_121943
A1300002,A2700002,73.922,241114_121943
A1300002,A2700003,64.7098,241114_121943
A1300002,A2700004,80.8481,241114_121943
A1300002,A2700005,68.7829,241114_121943
A1300002,A2700006,79.0111,241114_121943
A1300002,A2700007,45.5158,241114_121943
A1300002,A2700008,62.8156,241114_121943
A1300002,A2700009,72.4393,241114_121943
A1300002,A2700011,74.3339,241114_121943
A1300002,A2700012,58.8134,241114_121943
A1300002,A2700013,43.1084,241114_121943
A1300002,A2700014,75.3691,241114_121943
A1300002,A2700015,49.9691,241114_121943
A1300002,A2700016,67.769,241114_121943
A1300002,A2700017,50.0755,241114_121943
A1300002,A2700018,58.5873,241114_121943
A1300002,A2700019,32.5784,241114_121943
A1300002,A2700020,93.4586,241114_121943
A1300002,A2700023,87.4801,241114_121943
A1300002,A2700026,112.1654,241114_121943
A1300002,A2700030,44.819,241114_121943
A1300002,A2700031,94.4978,241114_121943
A1300002,A2700036,32.8607,241114_121943
A1300002,A2700038,41.4254,241114_121943
A1300002,A2700052,149.1485,241114_121943
A1300002,A2700063,68.6686,241114_121943
A1300002,A2700066,33.5234,241114_121943
A1300002,A2700070,46.9704,241114_121943
A1300002,A2700071,106.5468,241114_121943
A1300002,A2700097,64.0753,241114_121943
A1300002,A2702563,72.0176,241114_121943
A1300002,A2702752,92.6587,241114_121943
A1300002,E2700553,391.4804,241114_121943
A1300002,E2700554,84.9179,241114_121943
A1300003,A1300001,28.568,241114_121943
A1300003,A1300002,26.6629,241114_121943
A1300003,A1300004,24.9805,241114_121943
A1300003,A1300005,18.3726,241114_121943
A1300003,A1300006,16.3335,241114_121943
A1300003,A1300007,17.2037,241114_121943
A1300003,A1300008,30.7294,241114_121943
A1300003,A1300009,32.3341,241114_121943
A1300003,A1300010,17.0344,241114_121943
A1300003,A1300011,25.5896,241114_121943
A1300003,A1300018,30.2118,241114_121943
A1300003,A1300033,26.7738,241114_121943
A1300003,A1300034,24.7151,241114_121943
A1300003,A1300038,20.2162,241114_121943
A1300003,A1300045,23.4836,241114_121943
A1300003,A1300076,26.6194,241114_121943
A1300003,A1300081,31.7376,241114_121943
A1300003,A1300110,16.7341,241114_121943
A1300003,A1303386,28.9544,241114_121943
A1300003,A1303449,32.0341,241114_121943
A1300003,A2700001,75.7143,241114_121943
A1300003,A2700002,74.5001,241114_121943
A1300003,A2700003,64.2164,241114_121943
A1300003,A2700004,73.3206,241114_121943
A1300003,A2700005,68.845,241114_121943
A1300003,A2700006,69.4116,241114_121943
A1300003,A2700007,35.6991,241114_121943
A1300003,A2700008,62.9049,241114_121943
A1300003,A2700009,63.2164,241114_121943
A1300003,A2700011,64.9352,241114_121943
A1300003,A2700012,49.255,241114_121943
A1300003,A2700013,33.5065,241114_121943
A1300003,A2700014,68.1136,241114_121943
A1300003,A2700015,40.0843,241114_121943
A1300003,A2700016,67.9444,241114_121943
A1300003,A2700017,50.4369,241114_121943
A1300003,A2700018,49.1019,241114_121943
A1300003,A2700019,39.9867,241114_121943
A1300003,A2700020,86.4857,241114_121943
A1300003,A2700023,79.817,241114_121943
A1300003,A2700026,105.1663,241114_121943
A1300003,A2700030,27.923,241114_121943
A1300003,A2700031,87.5228,241114_121943
A1300003,A2700036,40.5928,241114_121943
A1300003,A2700038,44.7625,241114_121943
A1300003,A2700052,142.1199,241114_121943
A1300003,A2700063,61.373,241114_121943
A1300003,A2700066,23.8194,241114_121943
A1300003,A2700070,35.9938,241114_121943
A1300003,A2700071,99.5876,241114_121943
A1300003,A2700097,63.9657,241114_121943
A1300003,A2702563,72.0843,241114_121943
A1300003,A2702752,85.6375,241114_121943
A1300003,E2700553,389.4086,241114_121943
A1300003,E2700554,77.7454,241114_121943
A1300004,A1300001,8.557,241114_121943
A1300004,A1300002,19.4406,241114_121943
A1300004,A1300003,24.9996,241114_121943
A1300004,A1300005,26.5104,241114_121943
A1300004,A1300006,12.8378,241114_121943
A1300004,A1300007,15.155,241114_121943
A1300004,A1300008,19.204,241114_121943
A1300004,A1300009,23.7505,241114_121943
A1300004,A1300010,31.064,241114_121943
A1300004,A1300011,18.2903,241114_121943
A1300004,A1300018,34.7391,241114_121943
A1300004,A1300033,19.8129,241114_121943
A1300004,A1300034,3.4188,241114_121943
A1300004,A1300038,16.3831,241114_121943
A1300004,A1300045,10.8869,241114_121943
A1300004,A1300076,7.7465,241114_121943
A1300004,A1300081,32.1306,241114_121943
A1300004,A1300110,12.7971,241114_121943
A1300004,A1303386,16.0338,241114_121943
A1300004,A1303449,33.4392,241114_121943
A1300004,A2700001,84.5316,241114_121943
A1300004,A2700002,82.8377,241114_121943
A1300004,A2700003,72.3989,241114_121943
A1300004,A2700004,84.7188,241114_121943
A1300004,A2700005,77.1272,241114_121943
A1300004,A2700006,83.0707,241114_121943
A1300004,A2700007,49.2694,241114_121943
A1300004,A2700008,71.0892,241114_121943
A1300004,A2700009,78.4463,241114_121943
A1300004,A2700011,78.3966,241114_121943
A1300004,A2700012,63.0544,241114_121943
A1300004,A2700013,47.1362,241114_121943
A1300004,A2700014,77.2761,241114_121943
A1300004,A2700015,53.845,241114_121943
A1300004,A2700016,76.1882,241114_121943
A1300004,A2700017,58.6024,241114_121943
A1300004,A2700018,62.8148,241114_121943
A1300004,A2700019,35.664,241114_121943
A1300004,A2700020,95.571,241114_121943
A1300004,A2700023,89.6751,241114_121943
A1300004,A2700026,114.0754,241114_121943
A1300004,A2700030,50.3871,241114_121943
A1300004,A2700031,96.6212,241114_121943
A1300004,A2700036,40.7886,241114_121943
A1300004,A2700038,45.2714,241114_121943
A1300004,A2700052,151.073,241114_121943
A1300004,A2700063,71.5013,241114_121943
A1300004,A2700066,37.5156,241114_121943
A1300004,A2700070,39.6885,241114_121943
A1300004,A2700071,108.5794,241114_121943
A1300004,A2700097,72.2455,241114_121943
A1300004,A2702563,80.3248,241114_121943
A1300004,A2702752,94.5987,241114_121943
A1300004,E2700553,394.8746,241114_121943
A1300004,E2700554,86.5961,241114_121943
A1300005,A1300001,29.0559,241114_121943
A1300005,A1300002,22.2706,241114_121943
A1300005,A1300003,20.3855,241114_121943
A1300005,A1300004,27.435,241114_121943
A1300005,A1300006,17.9536,241114_121943
A1300005,A1300007,18.7766,241114_121943
A1300005,A1300008,24.2529,241114_121943
A1300005,A1300009,25.3998,241114_121943
A1300005,A1300010,9.5767,241114_121943
A1300005,A1300011,27.5601,241114_121943
A1300005,A1300018,26.567,241114_121943
A1300005,A1300033,22.5338,241114_121943
A1300005,A1300034,25.3464,241114_121943
A1300005,A1300038,20.396,241114_121943
A1300005,A1300045,24.0383,241114_121943
A1300005,A1300076,27.5215,241114_121943
A1300005,A1300081,28.1489,241114_121943
A1300005,A1300110,18.386,241114_121943
A1300005,A1303386,25.0024,241114_121943
A1300005,A1303449,37.3169,241114_121943
A1300005,A2700001,66.0518,241114_121943
A1300005,A2700002,70.7251,241114_121943
A1300005,A2700003,60.5179,241114_121943
A1300005,A2700004,64.1817,241114_121943
A1300005,A2700005,65.1767,241114_121943
A1300005,A2700006,68.4075,241114_121943
A1300005,A2700007,36.1103,241114_121943
A1300005,A2700008,59.2176,241114_121943
A1300005,A2700009,63.3704,241114_121943
A1300005,A2700011,62.884,241114_121943
A1300005,A2700012,49.4711,241114_121943
A1300005,A2700013,33.9099,241114_121943
A1300005,A2700014,58.6183,241114_121943
A1300005,A2700015,35.5751,241114_121943
A1300005,A2700016,64.2131,241114_121943
A1300005,A2700017,46.742,241114_121943
A1300005,A2700018,49.3339,241114_121943
A1300005,A2700019,35.7812,241114_121943
A1300005,A2700020,76.9899,241114_121943
A1300005,A2700023,70.156,241114_121943
A1300005,A2700026,95.5358,241114_121943
A1300005,A2700030,35.3801,241114_121943
A1300005,A2700031,77.9819,241114_121943
A1300005,A2700036,36.8902,241114_121943
A1300005,A2700038,41.0451,241114_121943
A1300005,A2700052,132.4062,241114_121943
A1300005,A2700063,51.622,241114_121943
A1300005,A2700066,24.2095,241114_121943
A1300005,A2700070,34.6931,241114_121943
A1300005,A2700071,89.9883,241114_121943
A1300005,A2700097,60.3014,241114_121943
A1300005,A2702563,68.3766,241114_121943
A1300005,A2702752,76.1659,241114_121943
A1300005,E2700553,386.4658,241114_121943
A1300005,E2700554,68.086,241114_121943
A1300006,A1300001,15.2824,241114_121943
A1300006,A1300002,21.4621,241114_121943
A1300006,A1300003,16.3916,241114_121943
A1300006,A1300004,10.5397,241114_121943
A1300006,A1300005,18.4473,241114_121943
A1300006,A1300007,7.4717,241114_121943
A1300006,A1300008,18.9808,241114_121943
A1300006,A1300009,27.7367,241114_121943
A1300006,A1300010,22.3998,241114_121943
A1300006,A1300011,21.5454,241114_121943
A1300006,A1300018,31.8668,241114_121943
A1300006,A1300033,23.4915,241114_121943
A1300006,A1300034,11.8908,241114_121943
A1300006,A1300038,18.4759,241114_121943
A1300006,A1300045,15.166,241114_121943
A1300006,A1300076,12.5047,241114_121943
A1300006,A1300081,35.9847,241114_121943
A1300006,A1300110,1.2977,241114_121943
A1300006,A1303386,15.0964,241114_121943
A1300006,A1303449,34.9949,241114_121943
A1300006,A2700001,77.1681,241114_121943
A1300006,A2700002,76.1261,241114_121943
A1300006,A2700003,66.0607,241114_121943
A1300006,A2700004,75.3067,241114_121943
A1300006,A2700005,70.6298,241114_121943
A1300006,A2700006,75.5962,241114_121943
A1300006,A2700007,41.1638,241114_121943
A1300006,A2700008,64.6725,241114_121943
A1300006,A2700009,69.2413,241114_121943
A1300006,A2700011,71.1203,241114_121943
A1300006,A2700012,55.4472,241114_121943
A1300006,A2700013,39.825,241114_121943
A1300006,A2700014,69.8206,241114_121943
A1300006,A2700015,46.1221,241114_121943
A1300006,A2700016,69.7276,241114_121943
A1300006,A2700017,52.021,241114_121943
A1300006,A2700018,55.2437,241114_121943
A1300006,A2700019,44.2794,241114_121943
A1300006,A2700020,88.1673,241114_121943
A1300006,A2700023,80.2944,241114_121943
A1300006,A2700026,106.5285,241114_121943
A1300006,A2700030,42.4054,241114_121943
A1300006,A2700031,89.2153,241114_121943
A1300006,A2700036,44.4805,241114_121943
A1300006,A2700038,46.4293,241114_121943
A1300006,A2700052,143.6232,241114_121943
A1300006,A2700063,64.0131,241114_121943
A1300006,A2700066,29.077,241114_121943
A1300006,A2700070,33.3922,241114_121943
A1300006,A2700071,101.0919,241114_121943
A1300006,A2700097,65.9592,241114_121943
A1300006,A2702563,73.9214,241114_121943
A1300006,A2702752,87.2961,241114_121943
A1300006,E2700553,376.3456,241114_121943
A1300006,E2700554,79.2479,241114_121943
A1300007,A1300001,18.6776,241114_121943
A1300007,A1300002,21.066,241114_121943
A1300007,A1300003,16.1882,241114_121943
A1300007,A1300004,14.4641,241114_121943
A1300007,A1300005,14.6288,241114_121943
A1300007,A1300006,8.2207,241114_121943
A1300007,A1300008,19.4785,241114_121943
A1300007,A1300009,24.3157,241114_121943
A1300007,A1300010,18.6576,241114_121943
A1300007,A1300011,22.9265,241114_121943
A1300007,A1300018,27.0934,241114_121943
A1300007,A1300033,21.4057,241114_121943
A1300007,A1300034,14.7169,241114_121943
A1300007,A1300038,18.0167,241114_121943
A1300007,A1300045,18.1232,241114_121943
A1300007,A1300076,15.0769,241114_121943
A1300007,A1300081,28.6739,241114_121943
A1300007,A1300110,8.6925,241114_121943
A1300007,A1303386,17.172,241114_121943
A1300007,A1303449,34.9174,241114_121943
A1300007,A2700001,72.6476,241114_121943
A1300007,A2700002,71.4197,241114_121943
A1300007,A2700003,61.1994,241114_121943
A1300007,A2700004,70.8299,241114_121943
A1300007,A2700005,65.9056,241114_121943
A1300007,A2700006,70.8661,241114_121943
A1300007,A2700007,37.1332,241114_121943
