hpid1,hpid2,travel_time,측정시각
A1300001,A1300002,13.4099,241110_190845
A1300001,A1300003,30.2199,241110_190845
A1300001,A1300004,9.9724,241110_190845
A1300001,A1300005,30.3798,241110_190845
A1300001,A1300006,18.0168,241110_190845
A1300001,A1300007,19.1356,241110_190845
A1300001,A1300008,13.8879,241110_190845
A1300001,A1300009,20.3849,241110_190845
A1300001,A1300010,30.1971,241110_190845
A1300001,A1300011,20.6831,241110_190845
A1300001,A1300018,28.697,241110_190845
A1300001,A1300033,15.5552,241110_190845
A1300001,A1300034,8.1443,241110_190845
A1300001,A1300038,20.7675,241110_190845
A1300001,A1300045,14.8573,241110_190845
A1300001,A1300076,8.0737,241110_190845
A1300001,A1300081,27.6106,241110_190845
A1300001,A1300110,17.9943,241110_190845
A1300001,A1303386,8.8178,241110_190845
A1300001,A1303449,36.3306,241110_190845
A1300001,A2700001,88.9573,241110_190845
A1300001,A2700002,78.0157,241110_190845
A1300001,A2700003,71.1927,241110_190845
A1300001,A2700004,84.8376,241110_190845
A1300001,A2700005,74.6614,241110_190845
A1300001,A2700006,86.2941,241110_190845
A1300001,A2700007,50.8734,241110_190845
A1300001,A2700008,68.5577,241110_190845
A1300001,A2700009,79.1913,241110_190845
A1300001,A2700011,80.9247,241110_190845
A1300001,A2700012,65.25,241110_190845
A1300001,A2700013,48.891,241110_190845
A1300001,A2700014,82.1362,241110_190845
A1300001,A2700015,57.2192,241110_190845
A1300001,A2700016,73.3706,241110_190845
A1300001,A2700017,55.2129,241110_190845
A1300001,A2700018,65.0882,241110_190845
A1300001,A2700019,34.4993,241110_190845
A1300001,A2700020,100.3063,241110_190845
A1300001,A2700023,94.3443,241110_190845
A1300001,A2700026,115.3465,241110_190845
A1300001,A2700030,50.1656,241110_190845
A1300001,A2700031,101.0163,241110_190845
A1300001,A2700036,36.2636,241110_190845
A1300001,A2700038,42.5361,241110_190845
A1300001,A2700052,154.7141,241110_190845
A1300001,A2700063,73.1329,241110_190845
A1300001,A2700066,39.5182,241110_190845
A1300001,A2700070,43.469,241110_190845
A1300001,A2700071,112.855,241110_190845
A1300001,A2700097,70.245,241110_190845
A1300001,A2702563,78.6377,241110_190845
A1300001,A2702752,99.2904,241110_190845
A1300001,E2700553,360.3174,241110_190845
A1300001,E2700554,90.0085,241110_190845
A1300002,A1300001,15.8895,241110_190845
A1300002,A1300003,32.257,241110_190845
A1300002,A1300004,18.952,241110_190845
A1300002,A1300005,23.5293,241110_190845
A1300002,A1300006,19.767,241110_190845
A1300002,A1300007,21.1157,241110_190845
A1300002,A1300008,6.6095,241110_190845
A1300002,A1300009,12.5811,241110_190845
A1300002,A1300010,23.4013,241110_190845
A1300002,A1300011,21.9289,241110_190845
A1300002,A1300018,21.2417,241110_190845
A1300002,A1300033,7.8396,241110_190845
A1300002,A1300034,17.0805,241110_190845
A1300002,A1300038,26.965,241110_190845
A1300002,A1300045,19.4854,241110_190845
A1300002,A1300076,17.8117,241110_190845
A1300002,A1300081,23.9314,241110_190845
A1300002,A1300110,19.6694,241110_190845
A1300002,A1303386,9.4449,241110_190845
A1300002,A1303449,38.475,241110_190845
A1300002,A2700001,81.5327,241110_190845
A1300002,A2700002,72.6983,241110_190845
A1300002,A2700003,65.8546,241110_190845
A1300002,A2700004,79.547,241110_190845
A1300002,A2700005,69.3027,241110_190845
A1300002,A2700006,80.8778,241110_190845
A1300002,A2700007,45.6561,241110_190845
A1300002,A2700008,63.2116,241110_190845
A1300002,A2700009,73.778,241110_190845
A1300002,A2700011,75.6049,241110_190845
A1300002,A2700012,59.7799,241110_190845
A1300002,A2700013,43.3978,241110_190845
A1300002,A2700014,74.4186,241110_190845
A1300002,A2700015,51.7607,241110_190845
A1300002,A2700016,68.0705,241110_190845
A1300002,A2700017,49.846,241110_190845
A1300002,A2700018,59.5958,241110_190845
A1300002,A2700019,33.0121,241110_190845
A1300002,A2700020,93.879,241110_190845
A1300002,A2700023,87.0454,241110_190845
A1300002,A2700026,111.017,241110_190845
A1300002,A2700030,44.7756,241110_190845
A1300002,A2700031,94.6349,241110_190845
A1300002,A2700036,32.5523,241110_190845
A1300002,A2700038,40.8791,241110_190845
A1300002,A2700052,148.0871,241110_190845
A1300002,A2700063,67.57,241110_190845
A1300002,A2700066,34.0629,241110_190845
A1300002,A2700070,48.061,241110_190845
A1300002,A2700071,106.4015,241110_190845
A1300002,A2700097,64.9323,241110_190845
A1300002,A2702563,73.3423,241110_190845
A1300002,A2702752,92.866,241110_190845
A1300002,E2700553,356.321,241110_190845
A1300002,E2700554,84.4904,241110_190845
A1300003,A1300001,28.1073,241110_190845
A1300003,A1300002,28.7816,241110_190845
A1300003,A1300004,24.7975,241110_190845
A1300003,A1300005,18.3935,241110_190845
A1300003,A1300006,16.4593,241110_190845
A1300003,A1300007,18.1482,241110_190845
A1300003,A1300008,29.2038,241110_190845
A1300003,A1300009,31.7111,241110_190845
A1300003,A1300010,17.3913,241110_190845
A1300003,A1300011,27.68,241110_190845
A1300003,A1300018,31.3729,241110_190845
A1300003,A1300033,29.1831,241110_190845
A1300003,A1300034,24.2059,241110_190845
A1300003,A1300038,20.4109,241110_190845
A1300003,A1300045,22.8585,241110_190845
A1300003,A1300076,26.0324,241110_190845
A1300003,A1300081,33.361,241110_190845
A1300003,A1300110,16.851,241110_190845
A1300003,A1303386,28.6411,241110_190845
A1300003,A1303449,31.6115,241110_190845
A1300003,A2700001,75.6929,241110_190845
A1300003,A2700002,74.5742,241110_190845
A1300003,A2700003,67.6971,241110_190845
A1300003,A2700004,73.6124,241110_190845
A1300003,A2700005,70.9997,241110_190845
A1300003,A2700006,73.4307,241110_190845
A1300003,A2700007,37.5828,241110_190845
A1300003,A2700008,64.9265,241110_190845
A1300003,A2700009,66.2594,241110_190845
A1300003,A2700011,68.0777,241110_190845
A1300003,A2700012,51.6885,241110_190845
A1300003,A2700013,35.0956,241110_190845
A1300003,A2700014,69.1949,241110_190845
A1300003,A2700015,43.143,241110_190845
A1300003,A2700016,69.8128,241110_190845
A1300003,A2700017,51.6681,241110_190845
A1300003,A2700018,51.5413,241110_190845
A1300003,A2700019,42.7429,241110_190845
A1300003,A2700020,87.4471,241110_190845
A1300003,A2700023,81.2806,241110_190845
A1300003,A2700026,104.7484,241110_190845
A1300003,A2700030,26.9459,241110_190845
A1300003,A2700031,88.2668,241110_190845
A1300003,A2700036,42.1186,241110_190845
A1300003,A2700038,46.2048,241110_190845
A1300003,A2700052,142.0196,241110_190845
A1300003,A2700063,62.0552,241110_190845
A1300003,A2700066,25.2056,241110_190845
A1300003,A2700070,35.96,241110_190845
A1300003,A2700071,100.083,241110_190845
A1300003,A2700097,66.8156,241110_190845
A1300003,A2702563,75.0229,241110_190845
A1300003,A2702752,86.4692,241110_190845
A1300003,E2700553,368.6379,241110_190845
A1300003,E2700554,79.2345,241110_190845
A1300004,A1300001,8.2818,241110_190845
A1300004,A1300002,17.9692,241110_190845
A1300004,A1300003,26.9358,241110_190845
A1300004,A1300005,26.717,241110_190845
A1300004,A1300006,13.8312,241110_190845
A1300004,A1300007,15.9114,241110_190845
A1300004,A1300008,17.1006,241110_190845
A1300004,A1300009,25.5148,241110_190845
A1300004,A1300010,31.4432,241110_190845
A1300004,A1300011,17.3374,241110_190845
A1300004,A1300018,32.8972,241110_190845
A1300004,A1300033,20.0444,241110_190845
A1300004,A1300034,3.4456,241110_190845
A1300004,A1300038,16.371,241110_190845
A1300004,A1300045,11.133,241110_190845
A1300004,A1300076,5.7954,241110_190845
A1300004,A1300081,32.0925,241110_190845
