"행정구역","2024년09월_계_총인구수","2024년09월_계_연령구간인구수","2024년09월_계_0~9세","2024년09월_계_10~19세","2024년09월_계_20~29세","2024년09월_계_30~39세","2024년09월_계_40~49세","2024년09월_계_50~59세","2024년09월_계_60~69세","2024년09월_계_70~79세","2024년09월_계_80~89세","2024년09월_계_90~99세","2024년09월_계_100세 이상","2024년09월_남_총인구수","2024년09월_남_연령구간인구수","2024년09월_남_0~9세","2024년09월_남_10~19세","2024년09월_남_20~29세","2024년09월_남_30~39세","2024년09월_남_40~49세","2024년09월_남_50~59세","2024년09월_남_60~69세","2024년09월_남_70~79세","2024년09월_남_80~89세","2024년09월_남_90~99세","2024년09월_남_100세 이상","2024년09월_여_총인구수","2024년09월_여_연령구간인구수","2024년09월_여_0~9세","2024년09월_여_10~19세","2024년09월_여_20~29세","2024년09월_여_30~39세","2024년09월_여_40~49세","2024년09월_여_50~59세","2024년09월_여_60~69세","2024년09월_여_70~79세","2024년09월_여_80~89세","2024년09월_여_90~99세","2024년09월_여_100세 이상"
"서울특별시  (1100000000)","9,350,995","9,350,995","489,540","725,242","1,323,486","1,438,253","1,392,232","1,491,733","1,324,193","763,744","352,745","48,299","1,528","4,515,791","4,515,791","250,909","370,852","624,025","719,614","688,150","733,482","627,033","345,074","143,220","13,088","344","4,835,204","4,835,204","238,631","354,390","699,461","718,639","704,082","758,251","697,160","418,670","209,525","35,211","1,184"
"서울특별시 종로구 (1111000000)","138,879","138,879","5,614","9,541","21,205","19,627","18,677","23,538","20,974","11,783","6,805","1,069","46","66,846","66,846","2,855","4,676","9,949","9,751","9,054","11,591","10,488","5,403","2,717","349","13","72,033","72,033","2,759","4,865","11,256","9,876","9,623","11,947","10,486","6,380","4,088","720","33"
"서울특별시 종로구 청운효자동(1111051500)","11,143","11,143","561","1,021","1,343","1,519","1,792","1,906","1,441","898","562","94","6","5,079","5,079","294","522","658","688","776","860","654","364","231","30","2","6,064","6,064","267","499","685","831","1,016","1,046","787","534","331","64","4"
"서울특별시 종로구 사직동(1111053000)","8,995","8,995","430","627","1,028","1,456","1,405","1,461","1,269","712","504","96","7","3,948","3,948","213","261","422","632","605","678","583","301","211","38","4","5,047","5,047","217","366","606","824","800","783","686","411","293","58","3"
"서울특별시 종로구 삼청동(1111054000)","2,234","2,234","80","158","242","290","311","338","382","250","152","30","1","1,073","1,073","37","91","124","129","158","160","183","117","62","12","0","1,161","1,161","43","67","118","161","153","178","199","133","90","18","1"
"서울특별시 종로구 부암동(1111055000)","9,054","9,054","374","781","1,054","1,177","1,353","1,636","1,376","774","440","86","3","4,255","4,255","189","428","522","569","616","732","646","348","182","23","0","4,799","4,799","185","353","532","608","737","904","730","426","258","63","3"
"서울특별시 종로구 평창동(1111056000)","17,232","17,232","948","1,502","1,935","2,038","2,406","3,097","2,831","1,465","819","177","14","7,987","7,987","502","727","940","974","1,077","1,367","1,330","682","330","54","4","9,245","9,245","446","775","995","1,064","1,329","1,730","1,501","783","489","123","10"
"서울특별시 종로구 무악동(1111057000)","7,876","7,876","496","931","806","806","1,257","1,423","1,108","618","378","49","4","3,615","3,615","218","393","383","376","587","717","515","270","137","19","0","4,261","4,261","278","538","423","430","670","706","593","348","241","30","4"
"서울특별시 종로구 교남동(1111058000)","9,621","9,621","728","749","1,085","1,416","1,666","1,629","1,192","723","384","49","0","4,418","4,418","366","362","499","639","769","790","531","294","155","13","0","5,203","5,203","362","387","586","777","897","839","661","429","229","36","0"
"서울특별시 종로구 가회동(1111060000)","3,826","3,826","153","311","386","510","604","694","541","362","226","38","1","1,791","1,791","92","160","183","245","276","334","253","156","82","10","0","2,035","2,035","61","151","203","265","328","360","288","206","144","28","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,708","6,708","151","212","968","990","845","1,076","1,316","725","377","45","3","4,027","4,027","83","109","465","574","521","732","886","446","192","17","2","2,681","2,681","68","103","503","416","324","344","430","279","185","28","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,306","5,306","137","190","1,109","927","573","820","798","464","255","33","0","2,796","2,796","68","92","501","526","324","472","461","219","123","10","0","2,510","2,510","69","98","608","401","249","348","337","245","132","23","0"
"서울특별시 종로구 이화동(1111064000)","7,012","7,012","171","328","1,554","1,249","783","1,008","935","583","349","52","0","3,257","3,257","80","165","657","622","389","495","445","260","128","16","0","3,755","3,755","91","163","897","627","394","513","490","323","221","36","0"
"서울특별시 종로구 혜화동(1111065000)","15,980","15,980","485","1,238","4,314","2,045","1,845","2,323","1,747","1,097","768","112","6","7,681","7,681","242","610","2,142","1,072","885","1,109","838","448","299","35","1","8,299","8,299","243","628","2,172","973","960","1,214","909","649","469","77","5"
"서울특별시 종로구 창신제1동(1111067000)","4,446","4,446","98","172","519","587","470","820","1,003","500","249","28","0","2,344","2,344","51","91","268","320","260","427","572","250","98","7","0","2,102","2,102","47","81","251","267","210","393","431","250","151","21","0"
"서울특별시 종로구 창신제2동(1111068000)","7,380","7,380","150","322","885","894","763","1,590","1,548","771","407","50","0","3,804","3,804","79","164","464","519","425","831","795","363","143","21","0","3,576","3,576","71","158","421","375","338","759","753","408","264","29","0"
"서울특별시 종로구 창신제3동(1111069000)","6,246","6,246","272","402","771","902","787","1,142","1,095","543","285","47","0","3,079","3,079","146","204","409","460","405","540","547","248","98","22","0","3,167","3,167","126","198","362","442","382","602","548","295","187","25","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,756","5,756","184","324","715","802","784","1,066","1,005","539","290","46","1","2,792","2,792","92","166","336","404","410","538","487","253","98","8","0","2,964","2,964","92","158","379","398","374","528","518","286","192","38","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,064","10,064","196","273","2,491","2,019","1,033","1,509","1,387","759","360","37","0","4,900","4,900","103","131","976","1,002","571","809","762","384","148","14","0","5,164","5,164","93","142","1,515","1,017","462","700","625","375","212","23","0"
"서울특별시 중구 (1114000000)","121,324","121,324","5,380","6,040","17,005","21,584","16,591","18,826","18,484","10,733","5,735","920","26","58,447","58,447","2,737","3,042","7,629","10,741","8,409","9,418","9,179","4,885","2,170","229","8","62,877","62,877","2,643","2,998","9,376","10,843","8,182","9,408","9,305","5,848","3,565","691","18"
"서울특별시 중구 소공동(1114052000)","2,196","2,196","141","146","218","447","522","323","218","118","53","10","0","1,017","1,017","72","51","74","206","252","166","115","54","24","3","0","1,179","1,179","69","95","144","241","270","157","103","64","29","7","0"
"서울특별시 중구 회현동(1114054000)","4,317","4,317","154","204","403","531","510","762","921","524","254","52","2","2,243","2,243","81","103","196","247","267","413","532","267","123","14","0","2,074","2,074","73","101","207","284","243","349","389","257","131","38","2"
"서울특별시 중구 명동(1114055000)","2,560","2,560","56","117","316","334","347","448","464","291","150","36","1","1,057","1,057","31","53","133","166","142","199","180","107","40","5","1","1,503","1,503","25","64","183","168","205","249","284","184","110","31","0"
"서울특별시 중구 필동(1114057000)","4,321","4,321","129","199","814","872","534","569","614","337","203","48","2","2,206","2,206","66","100","380","458","289","326","321","168","85","13","0","2,115","2,115","63","99","434","414","245","243","293","169","118","35","2"
"서울특별시 중구 장충동(1114058000)","4,557","4,557","132","290","1,220","665","502","571","550","367","225","34","1","2,365","2,365","75","132","660","392","263","299","279","163","90","11","1","2,192","2,192","57","158","560","273","239","272","271","204","135","23","0"
"서울특별시 중구 광희동(1114059000)","5,771","5,771","120","181","1,176","1,289","663","736","848","497","232","29","0","2,844","2,844","64","95","454","683","341","402","475","233","89","8","0","2,927","2,927","56","86","722","606","322","334","373","264","143","21","0"
"서울특별시 중구 을지로동(1114060500)","3,125","3,125","127","80","414","945","475","370","390","209","103","12","0","1,680","1,680","56","33","182","509","248","222","253","121","50","6","0","1,445","1,445","71","47","232","436","227","148","137","88","53","6","0"
"서울특별시 중구 신당동(1114061500)","7,394","7,394","225","238","1,238","1,321","958","1,167","1,181","671","341","53","1","3,603","3,603","105","108","508","656","509","645","599","329","134","10","0","3,791","3,791","120","130","730","665","449","522","582","342","207","43","1"
